,ai tools,online course,electric scooter,protein powder,freelance
"Jan 19 – 25, 2025",14,46,35,71,55
"Jan 26 – Feb 1, 2025",16,39,42,70,54
"Feb 2 – 8, 2025",16,40,39,68,57
"Feb 9 – 15, 2025",17,38,38,62,54
"Feb 16 – 22, 2025",19,40,37,63,53
"Feb 23 – Mar 1, 2025",18,39,41,67,55
"Mar 2 – 8, 2025",17,40,52,68,51
"Mar 9 – 15, 2025",17,37,48,67,50
"Mar 16 – 22, 2025",18,40,51,68,53
"Mar 23 – 29, 2025",17,41,51,69,53
"Mar 30 – Apr 5, 2025",18,42,53,67,51
"Apr 6 – 12, 2025",16,38,53,70,52
"Apr 13 – 19, 2025",16,38,55,62,52
"Apr 20 – 26, 2025",17,44,57,66,53
"Apr 27 – May 3, 2025",18,43,57,68,54
"May 4 – 10, 2025",18,43,53,64,54
"May 11 – 17, 2025",18,44,56,63,53
"May 18 – 24, 2025",19,45,56,65,55
"May 25 – 31, 2025",20,44,56,63,49
"Jun 1 – 7, 2025",29,43,57,71,56
"Jun 8 – 14, 2025",39,44,61,71,57
"Jun 15 – 21, 2025",38,48,61,70,59
"Jun 22 – 28, 2025",41,47,62,71,60
"Jun 29 – Jul 5, 2025",37,44,72,68,58
"Jul 6 – 12, 2025",33,46,67,73,57
"Jul 13 – 19, 2025",39,52,66,71,59
"Jul 20 – 26, 2025",40,63,76,74,64
"Jul 27 – Aug 2, 2025",43,64,81,79,70
"Aug 3 – 9, 2025",63,83,87,92,94
"Aug 10 – 16, 2025",82,90,94,94,99
"Aug 17 – 23, 2025",76,95,93,91,91
"Aug 24 – 30, 2025",70,84,98,94,81
"Aug 31 – Sep 6, 2025",68,86,100,89,82
"Sep 7 – 13, 2025",67,86,92,87,84
"Sep 14 – 20, 2025",85,83,78,77,83
"Sep 21 – 27, 2025",100,83,87,72,76
"Sep 28 – Oct 4, 2025",82,82,86,71,82
"Oct 5 – 11, 2025",71,67,80,70,75
"Oct 12 – 18, 2025",65,68,80,100,73
"Oct 19 – 25, 2025",62,66,74,87,74
"Oct 26 – Nov 1, 2025",58,62,69,76,68
"Nov 2 – 8, 2025",59,63,67,76,71
"Nov 9 – 15, 2025",63,70,70,77,72
"Nov 16 – 22, 2025",62,69,69,76,73
"Nov 23 – 29, 2025",70,81,75,70,79
"Nov 30 – Dec 6, 2025",88,100,70,77,100
"Dec 7 – 13, 2025",81,83,67,67,82
"Dec 14 – 20, 2025",69,67,66,60,72
"Dec 21 – 27, 2025",55,52,77,54,60
"Dec 28, 2025 – Jan 3, 2026",55,51,60,72,59
"Jan 4 – 10, 2026",47,52,51,89,66
"Jan 11 – 17, 2026",23,39,47,79,53
"Jan 18 – 24, 2026",26,41,45,82,57
